from_frame,to_frame,fen
0,0, KkKkKkKk/QqQqQqQq/KkKkKkKk/QqQqQqQq/KkKkKkKk/QqQqQqQq/KkKkKkKk/QqQqQqQq
1,1, BbqPPrpQ/r1kbQRBk/KPqkqbN1/NpPrpNbB/NBrbP1pp/QNKRkQ1B/qnKPqpnR/nRBN1kkN
2,2, bnpRppnP/r1nrrbrB/qQprbPqn/1RpbNKPQ/R1RQKQNB/pnKQnq1p/RQRrRrrb/pRqbb1nb
3,3, nqPbnKrn/PbBqRrBB/nPpQbrpp/rPnkRQBn/Qrr1NpQB/kPkkqRR1/KQKqBRq1/PqqQrR1Q
4,4, rRbP1bBp/qPbKKqpp/kRPQkPNq/qnpnRqrQ/Kp1BBRnB/p1pN1BQq/1PRRbRqB/RbkBrPNN
5,5, NnrRNPQB/BNq1BRRP/pNRrPrrR/kPqkbQpQ/BpK1r1KP/PrpqN1r1/nqqrbq1r/QQQbKBRR
6,6, bpbQrNqN/KKNKQQNr/kQNKnBKK/PqKPpNkq/nRbQRpbk/pQbk1Nqr/RKqNqrQP/nkrrb1P1
7,7, PbBQBpQr/PppQKKB1/qQbKnrKp/BnPRQnPP/QpK1nRK1/PKnkRNRR/qprQpRKb/KrPpPNpN
8,8, bNpNbQkr/R1nNbNRb/pBn1rbnn/KNqBnN1R/1nrPrbNb/Nqp1PRpr/nQNBq1Rq/nqRRbkKp
9,9, pq1nRKqq/PPRbnBPn/RBbQr1Bb/2NkrQkq/KQBnNpNK/nQKQppbQ/1bkrkrPr/KqBKBbbr
10,10, pRkBq1nN/nKKQRpKR/QKPnnpBN/NNkQRpBR/NQnnpnNn/rKbbqb1P/pqB1KQBb/BpkQKrrB
11,11, KB1bnqQr/QqBBb1Pp/rqQbpnBb/kR1KbRrP/kq1nrqrq/npK1Bpbq/BqNBPpqQ/Q1qppPnK
12,12, Qbr1BPKB/nn2NBPr/KRpp1PPN/bBbrnbbQ/QBPRnnKB/qkqnQKpk/RnKBBQPP/nkNRrqnk
13,13, BrkpQNpB/1bNQPRkP/RnnrBpPk/KBQqRPPP/KPBpKPkr/qnB1qPnn/n1QkrrBp/kqNqBrPk
14,14, PRppqb1R/qbqrKBpN/NbRQrPBN/nBqnrBRP/nqRnr2b/kPbkKrQQ/PKbqnrbN/qRknQrnQ
15,15, qKqkBrb1/1nbrkRnN/QppnRqR1/1rQ1rkPq/pb1nnBqk/BK1rbqkn/rQkKkrrK/1bqqqnqq
16,16, PrbKB1QN/1NnNnnbk/KrNBqkRr/kqB1KRQN/pQNppkq1/PB1pKrqQ/pK1kPkbR/PbKrqqkr
17,17, pKnnnknB/pQ1RRrpk/KPKPqPpr/K1QkPrnN/nqKNnrNb/qRrPkrbp/1nbRNrNR/N1nNPKnQ
18,18, KkrrpqRq/BR1pQbBk/KkqPKBB1/pppPR1kp/1RkrbqK1/BBqbpkkq/Bp1PnppN/bnBN2RK
19,19, PPrppq1k/1BRQQbQq/bPbn1nRr/nqqBRPNp/1RPBqNnP/RkBbpPqr/k1rQbb1R/nkpPbKrN
20,20, K1kqRNKN/NrPNRRqn/RPpqrKqQ/k1QNKQ1k/RbRBqbQr/B2bbNnr/qnrkRrKK/RBkQBnNb
21,21, bpQ1kbKn/rKk1KbQb/1PrRknrp/RqPpkPpB/nPPkRRbN/NqqbnRpq/nqBqRpQP/nPrbnqRB
22,22, pq1NR1Br/bRKkpQNP/P1rKnPpn/PrRrkprN/Kb1n1QKQ/nKBnQ1PR/QKqQpP1k/Bqqnk1BN
23,23, kKnqrkRR/NnRKRPbK/bK2NpNb/RnppkrqR/NRpbNBpP/nqN1BkKN/qkRRrbb1/RbpkBBKK
24,24, BnBRRrNb/BQPkBbPR/NqrkKKNp/PRBbnrRk/RqkR1Qpk/QKkkrnrQ/qpppqqRk/BR1RbQnk
25,25, K1rqNqrp/KRPrbNkN/PK1QKpqB/kNKqRBNq/KQrrNNnP/kNnNNKQk/kqqqPQNB/KPbBP1PB
26,26, RrbPQqRB/NQNB1kPB/QnBkqPrb/bqkNQrNK/QnkRkPnB/K1BpBRbp/Bqb1rNpb/bNbqNPBK
27,27, bkRqnKKK/p1BKNPrK/qKbQbRKk/BbQRppBq/PbqqkBBr/pQqRKQKR/BKnrPPkq/kPbKn1qR
28,28, rnKpnkRk/BbBPKkQQ/QBPQ1BKK/KRQBBqkk/rQqBK1QQ/QrkpQKnr/PBPrqnQN/RKkPPkQk
29,29, 1pkbbnPq/PrKKR1pP/qPprPqPn/pKp1rkNN/1nrpQ1Br/BQPrKRnR/Kkb1kPpP/NpKbpkNK
30,30, BBKrKbq1/1nbnPQnb/1nRQ1qPN/BRrBnNBb/1KqBnNB1/PBBRPnqQ/NKbKRQ1n/rPQ1bpRr
31,31, NKp1QnK1/1RRPkpNB/PnBkbqkp/PbpnPNqP/krq1B1BK/rkk1BBr1/nkQpbqqP/BKN1bRpR
32,32, pPqN1bB1/bNBbKbnN/bbKRbKrK/kqnkRkRb/BNNrRqkN/Kqnb1Q2/rpQpqnRk/NBNNPRQq
33,33, RbkNbRRr/NpKnrqQR/bPKprkkk/bPPQprnp/rQBnRBpB/qnBk1R1N/KkNPbkBq/rbknnqbn
34,34, kbrkB1Kk/q2qbbbB/NppnkQQK/RknRBkpK/bBkKPNQb/nBrKqbNP/1ppQPrPp/NqR1qkbK
35,35, BB1PpPbr/qbBpNqrp/pknP1BqB/pNbNnrq1/pQBkppQp/ppPbPQRR/NrpqPQPQ/rp1B1NPr
36,36, qPnrRKq1/k1PPbnNP/BRPKRrpk/QN1nKqQN/bppnPPrr/Bbrrb1BQ/PBrkNKKQ/qkpkRbPq
37,37, bRBPnqbn/pqrbRknk/ppqKPKpR/1kbkrKQR/QQnkPbpP/BKPbrqKp/q1BB1qKR/bkq2bRn
38,38, NpbnprBB/PrrBqBKQ/qKqbkqPQ/kRrbRKrn/kkNNqbQr/RnnBPNpb/NKRRQkbk/RkkNPNBK
39,39, NQrqNBBP/rNqNrQQr/NnppPrrp/nRKnrRnB/KKKrk1rr/RppNP1N1/BnNpbKPk/nPPRkRRq
40,40, 1RKkPRP1/PqKpbKNp/NqnQkPkk/BqRq1bKN/bbrRqRBb/pQ1pQPqp/QNkBRpBp/pnpPbKPk
41,41, PbNbknPb/1rQknQRk/KnkbRnqq/QkKQRp1q/bnb1Qb1P/RRnPnPrq/bKqBqbqB/brPbqKbp
42,42, K1BrBBBB/PBRbBNqK/pnpQPqQ1/bnRrrbK1/krBrKBNq/krqqk1pp/qKbNKp1K/nkkpKrRp
43,43, qkbqP1b1/bQBbQpnN/qQpppBRb/RQqpkRkR/qpRNKRpN/P3prQK/BBPKqnRb/K1pQqqPk
44,44, kBbNrBRB/NpP1KqRP/nqkp2nK/1rQk1KRR/krBkBqBp/pBpqkqRP/N1Pkqq1p/bQBNQR1n
45,45, rrNNkBrn/nnnQ1kkB/QKbQQNnP/PRPQqkqb/bRrprBrN/BBbrPQQP/RKkknpkp/PrQqPKQR
46,46, pK1Qbprk/rQqkRkKn/Kn1pPppb/R1PrqBkr/pPPKQQ1Q/QPn1kKkN/NkBpB2K/BPRkbRP1
47,47, pqNpn1kr/PkQKPNpQ/QpNpBRkK/pRKp1kpn/RknRPKnr/BBrBn1Bp/nbQbBPRp/NrBQ1RQ1
48,48, rqQBP1pr/1pPNbBR1/QBrPNN1R/nqqqQkqB/BnrqqqRQ/nNp1QBRR/RBnnRPbb/nQNKBBqP
49,49, 1BbQ1rPk/krQBqbqR/PrPnBr1q/2kbRQpb/pr1QrrRR/rQ1brRkn/QPrN1Qbk/nppqpRrK
